Chamber,ElapsedDays,pr_mn,pr_lo,pr_hi,M_mn,M_lo,M_hi,A_mn,A_lo,A_hi,phi_mn,Group,Species
1,4.208333333,0.148253334,0.080209167,0.222515921,0.153975904,0.096751728,0.220162309,0.406968114,0.195125168,0.638268168,23.16553623,Experiment,Zebrafish
1,4.25,0.138289467,0.076994789,0.210036312,0.154003338,0.096642383,0.220034391,0.407558173,0.199588171,0.641159843,23.16516031,Experiment,Zebrafish
1,4.291666667,0.130290868,0.074489883,0.199812119,0.154017992,0.096712825,0.220234296,0.408144076,0.202622998,0.642340903,23.16494751,Experiment,Zebrafish
1,4.333333333,0.124352672,0.071118623,0.190610815,0.154019051,0.094223198,0.217683071,0.408726218,0.206180816,0.645433397,23.16489764,Experiment,Zebrafish
1,4.375,0.120338072,0.068956633,0.182864984,0.154005786,0.094037131,0.217173759,0.409304981,0.207447291,0.645218145,23.16501067,Experiment,Zebrafish
1,4.416666667,0.117973013,0.064629897,0.174415734,0.153977559,0.095782146,0.218577115,0.409880737,0.197673845,0.633619883,23.16528671,Experiment,Zebrafish
1,4.458333333,0.11693329,0.061932608,0.170984111,0.153933827,0.095898173,0.21834325,0.410453843,0.199182009,0.63241129,23.16572608,Experiment,Zebrafish
1,4.5,0.116944231,0.061705899,0.172343564,0.153874141,0.096240363,0.218484097,0.411024647,0.204756151,0.635929296,23.16632929,Experiment,Zebrafish
1,4.541666667,0.117889166,0.06399094,0.176351341,0.153798151,0.096340166,0.218501585,0.411593489,0.203223543,0.632947348,23.16709708,Experiment,Zebrafish
1,4.583333333,0.119883705,0.065928304,0.182063685,0.153705607,0.095831746,0.217865163,0.4121607,0.208267461,0.636318485,23.16803041,Experiment,Zebrafish
1,4.625,0.123263431,0.066390956,0.187192503,0.153596354,0.093974826,0.215748726,0.412726605,0.204029211,0.629977429,23.16913046,Experiment,Zebrafish
1,4.666666667,0.128475751,0.069164583,0.196390188,0.153470342,0.094564927,0.215958398,0.413291522,0.210957357,0.634662383,23.17039868,Experiment,Zebrafish
1,4.708333333,0.135912738,0.069855099,0.204780231,0.153327618,0.094843053,0.215892339,0.413855763,0.210772424,0.632805717,23.17183669,Experiment,Zebrafish
1,4.75,0.145718676,0.076529833,0.218817395,0.153168328,0.095440194,0.216132152,0.414419638,0.208374142,0.628613376,23.17344639,Experiment,Zebrafish
1,4.791666667,0.157583607,0.08822787,0.236933347,0.152992718,0.095522033,0.215943168,0.414983451,0.209986673,0.629436199,23.17522985,Experiment,Zebrafish
1,4.833333333,0.17055582,0.096043904,0.250112546,0.152801131,0.094908663,0.21486126,0.415547502,0.218044466,0.63571659,23.17718935,Experiment,Zebrafish
1,4.875,0.182983071,0.105448921,0.26378165,0.152594005,0.095334307,0.215150968,0.416112086,0.208592851,0.624542526,23.17932733,Experiment,Zebrafish
1,4.916666667,0.192747883,0.118268044,0.279721347,0.152371873,0.09540535,0.214754314,0.416677496,0.220650496,0.634439397,23.18164639,Experiment,Zebrafish
1,4.958333333,0.197862357,0.121635379,0.284799671,0.152135358,0.09495967,0.21397386,0.417244018,0.223394575,0.635501997,23.18414924,Experiment,Zebrafish
1,5,0.197203889,0.120461191,0.282453032,0.151885172,0.092011358,0.210636117,0.417811936,0.223601233,0.634178976,23.1868387,Experiment,Zebrafish
1,5.041666667,0.190954863,0.113981622,0.274467191,0.151622111,0.092440983,0.210673422,0.418381525,0.22802139,0.636434048,23.18971763,Experiment,Zebrafish
1,5.083333333,0.180464888,0.105849825,0.260930729,0.151347055,0.092572553,0.21022849,0.418953057,0.229465497,0.637342862,23.19278891,Experiment,Zebrafish
1,5.125,0.167671245,0.093072112,0.240842514,0.151060958,0.092603851,0.210113186,0.419526795,0.224860876,0.631755829,23.1960554,Experiment,Zebrafish
1,5.166666667,0.154460828,0.084889634,0.224442753,0.150764848,0.093360933,0.210429029,0.420102994,0.226897673,0.63251183,23.19951992,Experiment,Zebrafish
1,5.208333333,0.142264528,0.078715839,0.209154839,0.150459821,0.092965672,0.209640318,0.420681902,0.230755264,0.635447264,23.20318515,Experiment,Zebrafish
